year,driver_race,stop_purpose,search_type,contraband_found,engage_force,count
2002,Asian,Other Motor Vehicle Violation,,False,False,1
2002,Asian,Other Motor Vehicle Violation,,False,False,1
2002,Asian,Other Motor Vehicle Violation,,False,False,1
2002,Asian,Speed Limit Violation,,False,False,1
2002,Asian,Speed Limit Violation,,False,False,1
2002,Asian,Stop Light/Sign Violation,,False,False,1
2002,Asian,Stop Light/Sign Violation,,False,False,1
2002,Asian,Stop Light/Sign Violation,,False,False,1
2002,Asian,Vehicle Regulatory Violation,,False,False,1
2002,Asian,Vehicle Regulatory Violation,,False,False,1
2002,Black,Driving While Impaired,,False,False,1
2002,Black,Driving While Impaired,,False,False,1
2002,Black,Driving While Impaired,,False,False,1
2002,Black,Driving While Impaired,Consent,False,False,1
2002,Black,Driving While Impaired,Consent,False,False,1
2002,Black,Driving While Impaired,Consent,True,False,1
2002,Black,Driving While Impaired,Probable Cause,False,False,1
2002,Black,Driving While Impaired,Probable Cause,False,False,1
2002,Black,Driving While Impaired,Probable Cause,True,False,1
2002,Black,Driving While Impaired,Search Incident to Arrest,True,False,1
2002,Black,Investigation,,False,False,1
2002,Black,Investigation,,False,False,1
2002,Black,Investigation,,False,False,6
2002,Black,Investigation,,False,False,1
2002,Black,Investigation,,False,False,2
2002,Black,Investigation,,False,False,1
2002,Black,Investigation,,False,False,1
2002,Black,Investigation,,False,False,1
2002,Black,Investigation,,False,False,1
2002,Black,Investigation,,False,False,1
2002,Black,Investigation,Consent,False,False,1
2002,Black,Investigation,Probable Cause,False,False,1
2002,Black,Other Motor Vehicle Violation,,False,False,1
2002,Black,Other Motor Vehicle Violation,,False,False,1
2002,Black,Other Motor Vehicle Violation,,False,False,6
2002,Black,Other Motor Vehicle Violation,,False,False,1
2002,Black,Other Motor Vehicle Violation,,False,False,1
2002,Black,Other Motor Vehicle Violation,,False,False,2
2002,Black,Other Motor Vehicle Violation,,False,False,1
2002,Black,Other Motor Vehicle Violation,,False,False,4
2002,Black,Other Motor Vehicle Violation,,False,False,1
2002,Black,Other Motor Vehicle Violation,,False,False,1
2002,Black,Other Motor Vehicle Violation,,False,False,1
2002,Black,Other Motor Vehicle Violation,,False,False,1
2002,Black,Other Motor Vehicle Violation,,False,False,1
2002,Black,Other Motor Vehicle Violation,,False,False,1
2002,Black,Other Motor Vehicle Violation,,False,False,1
2002,Black,Other Motor Vehicle Violation,,False,False,1
2002,Black,Other Motor Vehicle Violation,,False,False,2
2002,Black,Other Motor Vehicle Violation,,False,False,1
2002,Black,Other Motor Vehicle Violation,,False,False,3
2002,Black,Other Motor Vehicle Violation,,False,False,3
2002,Black,Other Motor Vehicle Violation,,False,False,1
2002,Black,Other Motor Vehicle Violation,,False,False,1
2002,Black,Other Motor Vehicle Violation,,False,False,1
2002,Black,Other Motor Vehicle Violation,,False,False,1
2002,Black,Other Motor Vehicle Violation,,False,False,1
2002,Black,Other Motor Vehicle Violation,,False,False,3
2002,Black,Other Motor Vehicle Violation,,False,False,1
2002,Black,Other Motor Vehicle Violation,,False,False,1
2002,Black,Other Motor Vehicle Violation,,False,False,1
2002,Black,Other Motor Vehicle Violation,,False,False,1
2002,Black,Other Motor Vehicle Violation,,False,False,1
2002,Black,Other Motor Vehicle Violation,,False,False,1
2002,Black,Other Motor Vehicle Violation,,False,False,1
2002,Black,Other Motor Vehicle Violation,,False,False,2
2002,Black,Other Motor Vehicle Violation,Consent,False,False,1
2002,Black,Other Motor Vehicle Violation,Consent,False,False,1
2002,Black,Other Motor Vehicle Violation,Consent,True,False,1
2002,Black,Other Motor Vehicle Violation,Consent,True,False,1
2002,Black,Other Motor Vehicle Violation,Consent,True,False,2
2002,Black,Other Motor Vehicle Violation,Probable Cause,False,False,1
2002,Black,Other Motor Vehicle Violation,Probable Cause,True,False,1
2002,Black,Other Motor Vehicle Violation,Probable Cause,True,False,1
2002,Black,Other Motor Vehicle Violation,Protective Frisk,False,False,1
