census_profile_id,agency_id,agency_name,driver_race,population,total_population,stops,stop_rate,baseline_rate,stop_rate_ratio,times_likely,agency_name_race,url
1600000US3703500,19,Banner Elk Police Department,Native American,0,1236,1,,0.1831831831831832,,,Banner Elk Police Department - Native American,https://nccopwatch.org/agencies/19/search-rate
1600000US3733460,128,Indian Beach Police Department,Asian,0,179,2,,0.9428571428571428,,,Indian Beach Police Department - Asian,https://nccopwatch.org/agencies/128/search-rate
1600000US3733460,128,Indian Beach Police Department,Native American,0,179,2,,0.9428571428571428,,,Indian Beach Police Department - Native American,https://nccopwatch.org/agencies/128/search-rate
1600000US3747845,204,North Topsail Beach Police Department,Native American,0,969,2,,0.7280898876404495,,,North Topsail Beach Police Department - Native American,https://nccopwatch.org/agencies/204/search-rate
1600000US3748700,206,Ocean Isle Beach Police Department,Black,0,783,22,,0.4879679144385027,,,Ocean Isle Beach Police Department - Black,https://nccopwatch.org/agencies/206/search-rate
1600000US3748920,207,Old Fort Police Department,Asian,0,954,4,,0.6984687868080094,,,Old Fort Police Department - Asian,https://nccopwatch.org/agencies/207/search-rate
1600000US3710120,42,Candor Police Department,Asian,0,984,5,,0.47757255936675463,,,Candor Police Department - Asian,https://nccopwatch.org/agencies/42/search-rate
1600000US3705880,24,Biltmore Forest Police Department,Native American,0,1552,2,,0.13075383589059372,,,Biltmore Forest Police Department - Native American,https://nccopwatch.org/agencies/24/search-rate
1600000US3752140,220,Pinetops Police Department,Asian,0,1274,2,,0.36147186147186144,,,Pinetops Police Department - Asian,https://nccopwatch.org/agencies/220/search-rate
1600000US3752140,220,Pinetops Police Department,Native American,0,1274,3,,0.36147186147186144,,,Pinetops Police Department - Native American,https://nccopwatch.org/agencies/220/search-rate
1600000US3757000,232,Robbins Police Department,Native American,0,1366,1,,0.26,,,Robbins Police Department - Native American,https://nccopwatch.org/agencies/232/search-rate
1600000US3768040,273,Topsail Beach Police Department,Black,0,404,19,,0.9273182957393483,,,Topsail Beach Police Department - Black,https://nccopwatch.org/agencies/273/search-rate
1600000US3768040,273,Topsail Beach Police Department,Asian,0,404,6,,0.9273182957393483,,,Topsail Beach Police Department - Asian,https://nccopwatch.org/agencies/273/search-rate
1600000US3705880,24,Biltmore Forest Police Department,Black,0,1552,36,,0.13075383589059372,,,Biltmore Forest Police Department - Black,https://nccopwatch.org/agencies/24/search-rate
1600000US3703150,18,Bald Head Island Police Department,Native American,0,168,1,,0.8719512195121951,,,Bald Head Island Police Department - Native American,https://nccopwatch.org/agencies/18/search-rate
1600000US3760080,336,Seagrove Police Department,Asian,0,296,1,,0.4664310954063604,,,Seagrove Police Department - Asian,https://nccopwatch.org/agencies/336/search-rate
1600000US3760080,336,Seagrove Police Department,Native American,0,296,1,,0.4664310954063604,,,Seagrove Police Department - Native American,https://nccopwatch.org/agencies/336/search-rate
1600000US3765530,264,Sugar Mountain Police Department,Black,0,495,4,,0.2288135593220339,,,Sugar Mountain Police Department - Black,https://nccopwatch.org/agencies/264/search-rate
1600000US3703150,18,Bald Head Island Police Department,Other,0,168,2,,0.8719512195121951,,,Bald Head Island Police Department - Other,https://nccopwatch.org/agencies/18/search-rate
1600000US3703150,18,Bald Head Island Police Department,Asian,0,168,1,,0.8719512195121951,,,Bald Head Island Police Department - Asian,https://nccopwatch.org/agencies/18/search-rate
1600000US3764560,258,Stantonsburg Police Department,Asian,0,718,2,,0.1416184971098266,,,Stantonsburg Police Department - Asian,https://nccopwatch.org/agencies/258/search-rate
1600000US3764160,322,Spring Hope Police Department,Asian,0,1379,2,,0.30560271646859083,,,Spring Hope Police Department - Asian,https://nccopwatch.org/agencies/322/search-rate
1600000US3703150,18,Bald Head Island Police Department,Black,0,168,3,,0.8719512195121951,,,Bald Head Island Police Department - Black,https://nccopwatch.org/agencies/18/search-rate
1600000US3733460,128,Indian Beach Police Department,Other,0,179,5,,0.9428571428571428,,,Indian Beach Police Department - Other,https://nccopwatch.org/agencies/128/search-rate
1600000US3734840,134,Jonesville Police Department,Native American,0,2506,1,,0.3573752711496746,,,Jonesville Police Department - Native American,https://nccopwatch.org/agencies/134/search-rate
1600000US3731360,118,Highlands Police Department,Native American,0,1099,1,,0.22076612903225806,,,Highlands Police Department - Native American,https://nccopwatch.org/agencies/118/search-rate
1600000US3722360,88,Fairmont Department of Public Safety,Asian,0,2612,2,,0.12364760432766615,,,Fairmont Department of Public Safety - Asian,https://nccopwatch.org/agencies/88/search-rate
1600000US3721360,87,Enfield Police Department,Asian,0,2426,3,,0.20434782608695654,,,Enfield Police Department - Asian,https://nccopwatch.org/agencies/87/search-rate
1600000US3742700,169,Middlesex Police Department,Asian,0,983,2,,0.234,,,Middlesex Police Department - Asian,https://nccopwatch.org/agencies/169/search-rate
1600000US3743580,288,Village of Misenheimer Police Department,Native American,0,720,2,,0.7313432835820896,,,Village of Misenheimer Police Department - Native American,https://nccopwatch.org/agencies/288/search-rate
1600000US3771780,300,Weldon Police Department,Asian,0,1666,2,,0.2975609756097561,,,Weldon Police Department - Asian,https://nccopwatch.org/agencies/300/search-rate
1600000US3718060,76,Duck Police Department,Native American,0,535,2,,1.1547388781431334,,,Duck Police Department - Native American,https://nccopwatch.org/agencies/76/search-rate
1600000US3745640,182,Murfreesboro Police Department,Native American,0,2846,2,,0.060955518945634266,,,Murfreesboro Police Department - Native American,https://nccopwatch.org/agencies/182/search-rate
1600000US3745880,184,Nags Head Police Department,Native American,0,2913,5,,0.5875856816450876,,,Nags Head Police Department - Native American,https://nccopwatch.org/agencies/184/search-rate
1600000US3713000,61,Cleveland Police Department,Native American,0,985,2,,0.2797427652733119,,,Cleveland Police Department - Native American,https://nccopwatch.org/agencies/61/search-rate
1600000US3711640,318,Chadbourn Police Department,Asian,0,2001,1,,0.33063209076175043,,,Chadbourn Police Department - Asian,https://nccopwatch.org/agencies/318/search-rate
1600000US3770820,292,Walnut Creek Police Department,Native American,0,1109,1,,0.044530493707647625,,,Walnut Creek Police Department - Native American,https://nccopwatch.org/agencies/292/search-rate
1600000US3710960,47,Caswell Beach Police Department,Black,0,490,5,,0.22342733188720174,,,Caswell Beach Police Department - Black,https://nccopwatch.org/agencies/47/search-rate
